"model","routing","seed","phase_index","average_load","accepted_rate","avg_packet_latency","xy_fraction","racke_fraction"
"ordered_fill","hybrid_xy_racke","2202","12","0.6","0.395114","26.6123","0.726834","0.273166"
"ordered_fill","hybrid_xy_racke","2202","13","0.6","0.412602","28.5651","0.724315","0.275685"
"ordered_fill","hybrid_xy_racke","2202","14","0.6","0.427009","29.9645","0.759294","0.240706"
"ordered_fill","hybrid_xy_racke","2202","15","0.6","0.439206","31.0082","0.758872","0.241128"
"ordered_fill","hybrid_xy_racke","2203","0","0.05","0.0477407","8","1","0"
"ordered_fill","hybrid_xy_racke","2203","1","0.1","0.0737963","8","1","0"
"ordered_fill","hybrid_xy_racke","2203","2","0.15","0.148926","8.32677","1","0"
"ordered_fill","hybrid_xy_racke","2203","3","0.2","0.175556","8.71555","1","0"
"ordered_fill","hybrid_xy_racke","2203","4","0.25","0.2","8.74949","1","0"
"ordered_fill","hybrid_xy_racke","2203","5","0.3","0.225269","8.8287","1","0"
"ordered_fill","hybrid_xy_racke","2203","6","0.35","0.250459","9.0326","1","0"
"ordered_fill","hybrid_xy_racke","2203","7","0.4","0.275148","9.38304","1","0"
"ordered_fill","hybrid_xy_racke","2203","8","0.45","0.299741","11.9246","0.963783","0.0362170000000001"
"ordered_fill","hybrid_xy_racke","2203","9","0.5","0.324528","15.0669","0.784175","0.215825"
"ordered_fill","hybrid_xy_racke","2203","10","0.55","0.349379","20.1648","0.720027","0.279973"
"ordered_fill","hybrid_xy_racke","2203","11","0.6","0.374904","23.7568","0.7297","0.2703"
"ordered_fill","hybrid_xy_racke","2203","12","0.6","0.395495","26.0599","0.736272","0.263728"
"ordered_fill","hybrid_xy_racke","2203","13","0.6","0.412346","27.9243","0.744772","0.255228"
"ordered_fill","hybrid_xy_racke","2203","14","0.6","0.426934","29.4088","0.74735","0.25265"
"ordered_fill","hybrid_xy_racke","2203","15","0.6","0.439222","30.6286","0.73316","0.26684"
